20170228;421
CD_ENTITY;DT_PERIOD;CD_TEAM;CD_INDIVIDUAL;CD_CLIENT;CD_FACTTYPE;CD_TYPEMDT;CD_PRODUCT;AM_AMOUNT;CCY;MICA_NODE;CATEGORY;UNIT_TYPE;CD_LEVEL;ROLE
600;20170228;FR28890;;;COST;CH10150;PR04060550;-19.77761;EUR;MP10150020603;Actual;;;0
600;20170228;FR38890;;;COST;CH10150;PR04060550;-19.05876;EUR;MP10150020603;Actual;;;0
600;20170228;FR00895;;;COST;CH10150;PR04060550;-18.9632;EUR;MP10150030505;Actual;;;0
600;20170228;FR60890;;;COST;CH10150;PR04060550;-17.53234;EUR;MP10150030402;Actual;;;0
600;20170228;FR04890;;;COST;CH10150;PR04060550;-16.79432;EUR;MP10150030505;Actual;;;0
600;20170228;FR37890;;;COST;CH10150;PR04060550;-15.90473;EUR;MP10150030513;Actual;;;0
600;20170228;FR50890;;;COST;CH10150;PR04060550;-15.90473;EUR;MP10150030513;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-15.90473;EUR;MP10150030513;Actual;;;0
600;20170228;FR34890;;;COST;CH10150;PR04060550;-15.90473;EUR;MP10150030513;Actual;;;0
600;20170228;FR08890;;;COST;CH10150;PR04060550;-15.90473;EUR;MP10150030513;Actual;;;0
600;20170228;FR00895;;;COST;CH10150;PR04060550;-14.02063;EUR;MP10150020603;Actual;;;0
600;20170228;FR04890;;;COST;CH10150;PR04060550;-12.20027;EUR;MP10150020603;Actual;;;0
600;20170228;FR26890;;;COST;CH10150;PR04060550;-12.20027;EUR;MP10150020603;Actual;;;0
600;20170228;FR00892;;;COST;CH10150;PR04060550;-11.92855;EUR;MP10150030513;Actual;;;0
600;20170228;FR38890;;;COST;CH10150;PR04060550;-11.92855;EUR;MP10150030513;Actual;;;0
600;20170228;FR11890;;;COST;CH10150;PR04060550;-9.17;EUR;MP10153020005;Actual;;;0
600;20170228;FR31890;;;COST;CH10150;PR04060550;-8.90234;EUR;MP10150050002;Actual;;;0
600;20170228;FR00892;;;COST;CH10150;PR04060550;-7.99095;EUR;MP10153020005;Actual;;;0
600;20170228;FR60890;;;COST;CH10150;PR04060550;-7.95237;EUR;MP10150030513;Actual;;;0
600;20170228;FR40890;;;COST;CH10150;PR04060550;-7.95237;EUR;MP10150030513;Actual;;;0
600;20170228;FR00895;;;COST;CH10150;PR04060550;-7.95237;EUR;MP10150030513;Actual;;;0
